contract_version,lesson_id,image_id,source_ref,resolved_path,resolution_status,referenced_from_section_ids,visual_type,contains_numbers,contains_code,contains_chart,contains_platform_config,extracted_values_ref,technical_reading_ref,doctrine_relevance,requires_human_review,notes
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_002,../02_workshops/12-practice-02/img/002.png,02_workshops/12-practice-02/img/002.png,resolved_direct,sersan_practice_02_donchain_sec_0001,ui_navigation,false,false,false,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_005,../02_workshops/12-practice-02/img/005.png,02_workshops/12-practice-02/img/005.png,resolved_direct,sersan_practice_02_donchain_sec_0005,trade_example,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_001,../02_workshops/12-practice-02/img/001.png,02_workshops/12-practice-02/img/001.png,resolved_direct,sersan_practice_02_donchain_sec_0005,trade_example,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_004,../02_workshops/12-practice-02/img/004.png,02_workshops/12-practice-02/img/004.png,resolved_direct,sersan_practice_02_donchain_sec_0005,concept_diagram,true,false,false,false,image_evidence_notes/sersan_practice_02_donchain_img_004.md,image_evidence_notes/sersan_practice_02_donchain_img_004.md,high,false,"Formula de esperanza matematica y probabilidad de ruina; conecta win rate, payoff, loss rate y riesgo de ruina."
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_006,../02_workshops/12-practice-02/img/006.png,02_workshops/12-practice-02/img/006.png,resolved_direct,sersan_practice_02_donchain_sec_0006,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_007,../02_workshops/12-practice-02/img/007.png,02_workshops/12-practice-02/img/007.png,resolved_direct,sersan_practice_02_donchain_sec_0006,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_008,../02_workshops/12-practice-02/img/008.png,02_workshops/12-practice-02/img/008.png,resolved_direct,sersan_practice_02_donchain_sec_0006,performance_report,true,false,false,false,image_evidence_notes/sersan_practice_02_donchain_img_008.md,image_evidence_notes/sersan_practice_02_donchain_img_008.md,high,false,Lista de trades de la prueba preliminar con profit target y stop loss; evidencia que ambos exits estan actuando.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_010,../02_workshops/12-practice-02/img/010.png,02_workshops/12-practice-02/img/010.png,resolved_direct,sersan_practice_02_donchain_sec_0006,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_009,../02_workshops/12-practice-02/img/009.png,02_workshops/12-practice-02/img/009.png,resolved_direct,sersan_practice_02_donchain_sec_0006,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_014,../02_workshops/12-practice-02/img/014.png,02_workshops/12-practice-02/img/014.png,resolved_direct,sersan_practice_02_donchain_sec_0006,platform_settings,true,false,false,true,image_evidence_notes/sersan_practice_02_donchain_img_014.md,image_evidence_notes/sersan_practice_02_donchain_img_014.md,medium,false,Configuracion de Portfolio Maestro para benchmark buy and hold de AAPL.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_015,../02_workshops/12-practice-02/img/015.png,02_workshops/12-practice-02/img/015.png,resolved_direct,sersan_practice_02_donchain_sec_0006,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_016,../02_workshops/12-practice-02/img/016.png,02_workshops/12-practice-02/img/016.png,resolved_direct,sersan_practice_02_donchain_sec_0006,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_017,../02_workshops/12-practice-02/img/017.png,02_workshops/12-practice-02/img/017.png,resolved_direct,sersan_practice_02_donchain_sec_0006,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_018,../02_workshops/12-practice-02/img/018.png,02_workshops/12-practice-02/img/018.png,resolved_direct,sersan_practice_02_donchain_sec_0006,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_019,../02_workshops/12-practice-02/img/019.png,02_workshops/12-practice-02/img/019.png,resolved_direct,sersan_practice_02_donchain_sec_0006,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_020,../02_workshops/12-practice-02/img/020.png,02_workshops/12-practice-02/img/020.png,resolved_direct,sersan_practice_02_donchain_sec_0006,portfolio_report,true,false,false,false,image_evidence_notes/sersan_practice_02_donchain_img_020.md,image_evidence_notes/sersan_practice_02_donchain_img_020.md,high,false,Resultado buy and hold AAPL; muestra retorno extremo pero tambien drawdown relevante.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_021,../02_workshops/12-practice-02/img/021.png,02_workshops/12-practice-02/img/021.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,true,false,false,true,image_evidence_notes/sersan_practice_02_donchain_img_021.md,image_evidence_notes/sersan_practice_02_donchain_img_021.md,medium,false,Configuracion inicial con dos cruces de medias y par de exits porcentuales.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_022,../02_workshops/12-practice-02/img/022.png,02_workshops/12-practice-02/img/022.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,false,false,false,true,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_023,../02_workshops/12-practice-02/img/023.png,02_workshops/12-practice-02/img/023.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,false,false,false,true,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_024,../02_workshops/12-practice-02/img/024.png,02_workshops/12-practice-02/img/024.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,false,false,false,true,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_027,../02_workshops/12-practice-02/img/027.png,02_workshops/12-practice-02/img/027.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,false,false,false,true,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_028,../02_workshops/12-practice-02/img/028.png,02_workshops/12-practice-02/img/028.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,false,false,false,true,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_029,../02_workshops/12-practice-02/img/029.png,02_workshops/12-practice-02/img/029.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,false,false,false,true,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_030,../02_workshops/12-practice-02/img/030.png,02_workshops/12-practice-02/img/030.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,true,false,false,true,image_evidence_notes/sersan_practice_02_donchain_img_030.md,image_evidence_notes/sersan_practice_02_donchain_img_030.md,medium,false,Configuracion que ilustra cambio de inputs de salida y su efecto sobre la interpretacion del sistema.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_031,../02_workshops/12-practice-02/img/031.png,02_workshops/12-practice-02/img/031.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,false,false,false,true,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_032,../02_workshops/12-practice-02/img/032.png,02_workshops/12-practice-02/img/032.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,false,false,false,true,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_033,../02_workshops/12-practice-02/img/033.png,02_workshops/12-practice-02/img/033.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,false,false,false,true,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_034,../02_workshops/12-practice-02/img/034.png,02_workshops/12-practice-02/img/034.png,resolved_direct,sersan_practice_02_donchain_sec_0007,platform_settings,true,false,false,true,image_evidence_notes/sersan_practice_02_donchain_img_034.md,image_evidence_notes/sersan_practice_02_donchain_img_034.md,critical,true,Configuracion simetrica del exit: ProfitTargetPct 0.05 y StopLossPct 0.05.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_037,../02_workshops/12-practice-02/img/037.png,02_workshops/12-practice-02/img/037.png,resolved_direct,sersan_practice_02_donchain_sec_0008,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_038,../02_workshops/12-practice-02/img/038.png,02_workshops/12-practice-02/img/038.png,resolved_direct,sersan_practice_02_donchain_sec_0008,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_img_039,../02_workshops/12-practice-02/img/039.png,02_workshops/12-practice-02/img/039.png,resolved_direct,sersan_practice_02_donchain_sec_0008,performance_report,false,false,true,false,,,low,false,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
